Contenu_,Date_,Utilisateur_,Source_,ID_,Tweet URL
Go like https://t.co/FSIdbJjvrc,2020-12-16 07:51:18,LabronSmith4,Twitter for iPhone,1339115875643875329,https://twitter.com/statuses/1339115875643875329
@fuckgogy i will listen to that song till the day that i D!E,2020-12-16 07:51:18,jeonoyas,Twitter for iPhone,1339115875358498818,https://twitter.com/statuses/1339115875358498818
@tartqglia ikkk i want to see more of her 🥺 she’s so pretty,2020-12-16 07:51:18,analovesbsd,Twitter for iPhone,1339115875354501121,https://twitter.com/statuses/1339115875354501121
@Faminu_ You knw what i am talking about 😂,2020-12-16 07:51:18,zikirillahi,Twitter for iPhone,1339115875090063362,https://twitter.com/statuses/1339115875090063362
"what lmAO PLS 😭
 https://t.co/9a8wSceqRD",2020-12-16 07:51:18,woozzcart,Twitter for iPad,1339115875027230720,https://twitter.com/statuses/1339115875027230720
@CyberpunkGame Really hope an AI fix is coming soon guys...,2020-12-16 07:51:18,BananaaSalty,Twitter for iPhone,1339115875002159104,https://twitter.com/statuses/1339115875002159104
"@JBanaxa I got hacked, not got scammed :')",2020-12-16 07:51:18,LooopyPooopy,Twitter for Android,1339115874985263105,https://twitter.com/statuses/1339115874985263105
Report any and all suspicious voter behavior to https://t.co/ev1VStYvSx website and write them a letter with all the details of what you saw and heard. Call them to make sure they got it and did something about it. Get the results of their investigation in writing. - TAV POTUS https://t.co/qbBRH5zVZb,2020-12-16 07:51:18,TheodoreVegh,Twitter Web App,1339115874934992896,https://twitter.com/statuses/1339115874934992896
I SPEAK IT !! https://t.co/b8f9bOjjX3,2020-12-16 07:51:18,Lyriccc8,Twitter for iPhone,1339115874842800130,https://twitter.com/statuses/1339115874842800130
@ChyShai They love that btw. It comes across bitterly.,2020-12-16 07:51:18,therealslimlola,Twitter for iPhone,1339115874641383426,https://twitter.com/statuses/1339115874641383426
Is removing the spine from a living person a crime? https://t.co/hOM8xy4HfQ,2020-12-16 07:51:18,Hell_DragonKing,Twitter for Android,1339115874637107200,https://twitter.com/statuses/1339115874637107200
Cute https://t.co/Hplk04oc7m,2020-12-16 07:51:18,HarryUn14349387,Twitter for iPad,1339115874624532480,https://twitter.com/statuses/1339115874624532480
#followtrick blackpink bts exposed leaked disband party thread if you stan bg gg au ateez red velvet leaked smoke #kpop         exo taehyung samsung like rt to join gc list gain mutuals txt best boy porn anime nsfw smut omg win f4f ig filter giveaway ifb https://t.co/XF1H2sN5yt,2020-12-16 07:51:18,yunosbubu,Twitter for iPhone,1339115874620338176,https://twitter.com/statuses/1339115874620338176
@1700issa Man I feel that. But u gotta try and force yourself to have a conversation with them or sit with them,2020-12-16 07:51:18,peinIntern,Twitter for Android,1339115874582716416,https://twitter.com/statuses/1339115874582716416
@Playboi_Zim Finally someone that watches girlfriends😭🤟🏾,2020-12-16 07:51:18,mazvitamupazii,Twitter Web App,1339115874578538496,https://twitter.com/statuses/1339115874578538496
Lmao what 😂😂😂😂 https://t.co/fyloKPCYAp,2020-12-16 07:51:18,_tayahhj_,Twitter for iPhone,1339115874578403329,https://twitter.com/statuses/1339115874578403329
@_rmyeons thank u 🥺,2020-12-16 07:51:18,93yoonistarr,Twitter for Android,1339115874570014720,https://twitter.com/statuses/1339115874570014720
"stan GOT7 for a better life, folks. 💚",2020-12-16 07:51:18,maryminion_gi,Twitter for Android,1339115874569973760,https://twitter.com/statuses/1339115874569973760
@piersmorgan Is that your new mask?,2020-12-16 07:51:18,_anthonyneo,Twitter for iPhone,1339115874557505538,https://twitter.com/statuses/1339115874557505538
"@Naija_PR suya 
after enough highness",2020-12-16 07:51:18,AfeleMartins,Twitter Web App,1339115874557497345,https://twitter.com/statuses/1339115874557497345
"bearing with one another and, if one has a complaint against another, forgiving each other  as the Lord has forgiven you, so you also must forgive.
Colossians 3:13",2020-12-16 07:51:18,Jusiipppppppp,Twitter for Android,1339115874553266176,https://twitter.com/statuses/1339115874553266176
i saw the green pie and immediatley stopped reading https://t.co/9BFeLGNq9b,2020-12-16 07:51:18,AzureSkySM,Twitter Web App,1339115874536534016,https://twitter.com/statuses/1339115874536534016
oomfs dm me !,2020-12-16 07:51:18,xannywalls,Twitter Web App,1339115874532225025,https://twitter.com/statuses/1339115874532225025
"Sunset for December 16, 2020 at 04:29PM!",2020-12-16 07:51:18,wom_mow,IFTTT,1339115874490470401,https://twitter.com/statuses/1339115874490470401
Corpo | Very Hard https://t.co/ojusobAlzQ,2020-12-16 07:51:18,VoidAbstract,Streamlabs Twitter,1339115874482057217,https://twitter.com/statuses/1339115874482057217
My new helix piercing really hurts uhhhh,2020-12-16 07:51:18,lovwhisper,Twitter for Android,1339115874473537536,https://twitter.com/statuses/1339115874473537536
Talk to Me - Cavetown https://t.co/o8WLxBSk3s,2020-12-16 07:51:18,SadTsundereBoi,Twitter Web App,1339115874452647939,https://twitter.com/statuses/1339115874452647939
